header,class,mechanism,group
ICEberg|45|Tn916|GenBank|U09422|1|18032_Enterococcus_faecalis_DS16_transposon_Tn916__tet_M____Xis-Tn___Int-Tn__genes_ORFs_1-24_complete_cds_complete_sequence_,Integrating Conjugative Elements,ICE transposon ,NotComplete
ICEberg|91|Tn1545|GenBank|AM889142|1|3589_Streptococcus_pneumoniae_partial_transposon_Tn1545_strain_BM4200_,Integrating Conjugative Elements,ICE transposon ,NotComplete
ICEberg|330|Tn3872|GenBank|AM411624|1|4357_Streptococcus_pyogenes_partial_transposon_Tn3872_isolate_C-105_,Integrating Conjugative Elements,ICE transposon ,NotComplete
ICEberg|91|Tn1545|GenBank|AM903082|1|7793_Streptococcus_pneumoniae_partial_transposon_Tn1545_,Integrating Conjugative Elements,ICE transposon ,NotComplete
ICEberg|268|ICESau7215190|GenBank|EU918674|1|2535_Staphylococcus_aureus_strain_7215190-1_transposon_Tn916-like_tetracycline_resistance_protein__tetM__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|267|ICESau7611280|GenBank|EU918686|1|2536_Staphylococcus_aureus_strain_7611280-5_transposon_Tn916-like_tetracycline_resistance_protein__tetM__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|266|ICESauusa42|GenBank|EU918673|1|2542_Staphylococcus_aureus_strain_usa42_transposon_Tn916-like_tetracycline_resistance_protein__tetM__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|262|ICESauST398|GenBank|EU918691|1|2588_Staphylococcus_aureus_strain_MRSA_ST398_9b_transposon_Tn916-like_tetracycline_resistance_protein__tetM__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|259|ICESau7612628|GenBank|EU918689|1|2593_Staphylococcus_aureus_strain_7612628-4_transposon_Tn916-like_tetracycline_resistance_protein__tetM__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|258|ICESau7512986|GenBank|EU918685|1|2594_Staphylococcus_aureus_strain_7512986-1_transposon_Tn916-like_tetracycline_resistance_protein__tetM__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|257|ICESau7413714|GenBank|EU918681|1|2595_Staphylococcus_aureus_strain_7413714-1_transposon_Tn916-like_tetracycline_resistance_protein__tetM__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|260|ICESau35414|GenBank|EU918669|1|2596_Staphylococcus_aureus_strain_35414_transposon_Tn916-like_tetracycline_resistance_protein__tetM__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|264|ICESau617|GenBank|EU918653|1|2596_Staphylococcus_aureus_strain_617_transposon_Tn916-like_tetracycline_resistance_protein__tetM__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|256|ICESau7711730|GenBank|EU918690|1|2596_Staphylococcus_aureus_strain_7711730-1_transposon_Tn916-like_tetracycline_resistance_protein__tetM__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|270|ICESau5331|GenBank|EU918659|1|2598_Staphylococcus_aureus_strain_5331_transposon_Tn916-like_tetracycline_resistance_protein__tetM__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|253|ICESau7412791|GenBank|EU918678|1|2598_Staphylococcus_aureus_strain_7412791-1_transposon_Tn916-like_tetracycline_resistance_protein__tetM__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|261|ICESau1591|GenBank|EU918654|1|2599_Staphylococcus_aureus_strain_1591_transposon_Tn916-like_tetracycline_resistance_protein__tetM__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|251|ICESau9877324|GenBank|EU918671|1|2599_Staphylococcus_aureus_strain_9877324-3_H39_transposon_Tn916-like_tetracycline_resistance_protein__tetM__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|263|ICESau34801|GenBank|EU918667|1|2600_Staphylococcus_aureus_strain_34801_transposon_Tn916-like_tetracycline_resistance_protein__tetM__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|250|ICESau7312330|GenBank|EU918677|1|2600_Staphylococcus_aureus_strain_7312330-1_transposon_Tn916-like_tetracycline_resistance_protein__tetM__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|269|ICESau22034|GenBank|EU918663|1|2601_Staphylococcus_aureus_strain_22034_transposon_Tn916-like_tetracycline_resistance_protein__tetM__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|248|ICESau7413093|GenBank|EU918679|1|2604_Staphylococcus_aureus_strain_7413093-4_transposon_Tn916-like_tetracycline_resistance_protein__tetM__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|247|ICESau35366|GenBank|EU918668|1|2606_Staphylococcus_aureus_strain_35366_transposon_Tn916-like_tetracycline_resistance_protein__tetM__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|249|ICESau7512166|GenBank|EU918684|1|2606_Staphylococcus_aureus_strain_7512166-1_transposon_Tn916-like_tetracycline_resistance_protein__tetM__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|246|ICESau21995|GenBank|EU918662|1|2607_Staphylococcus_aureus_strain_21995_transposon_Tn916-like_tetracycline_resistance_protein__tetM__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|245|ICESau8797|GenBank|EU918661|1|2607_Staphylococcus_aureus_strain_8797_transposon_Tn916-like_tetracycline_resistance_protein__tetM__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|265|ICESau5377|GenBank|EU918660|1|2617_Staphylococcus_aureus_strain_5377_transposon_Tn916-like_tetracycline_resistance_protein__tetM__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|243|ICELlapAA211|GenBank|DQ060148|1|2630_Lactococcus_lactis_subsp_lactis_plasmid_pAA211_transposon_Tn916_TetM_leader_peptide_and_TetM_genes_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|244|ICELlapAA291|GenBank|DQ060147|1|2630_Lactococcus_lactis_subsp_lactis_plasmid_pAA291_transposon_Tn916_TetM_leader_peptide_and_TetM_genes_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETM
ICEberg|105|Tn916S|GenBank|AY534326|1|2642_Streptococcus_intermedius_transposon_Tn916S_tetracycline_resistance_protein__tetS__gene_complete_cds_,Integrating Conjugative Elements,Transposon tetracycline resistance protein,TETS
322447|323403|-|moco_insertion_factor_for_PaoABC_aldehyde_oxidoreductase,Mobile Genetic Element,Aldehyde oxidoreductase,PAO
933362|934402|+|biotin_synthesis__sulfur_insertion,Mobile Genetic Element,Biotin and sulfur insertion protein,NotComplete
651784|652782|+|cobalt_insertion_protein,Mobile Genetic Element,Cobalt insertion protein,NotComplete
33611|35440|-|IncP-type_DNA_relaxase_TraI,Mobile Genetic Element,DNA relaxase,TRAI
46277|48535|-|DNA_processing_protein__DNA_relaxase,Mobile Genetic Element,DNA relaxase,NotComplete
6243|6980|+|Putative_transposon_Tn552_DNA-invertase_bin3,Mobile Genetic Element,DNA-invertase,BIN3
165661|166296|-|Putative_transposon_Tn552_family_DNA-invertase_bin3,Mobile Genetic Element,DNA-invertase,BIN3
1543886|1544257|-|transposon_DNA-invertase,Mobile Genetic Element,DNA-invertase,NotComplete
58216|58425|-|excisionase_from_transposon_Tn916,Mobile Genetic Element,Excisionase,TN916
1554150|1554353|-|putative_transposon_excisionase,Mobile Genetic Element,Excisionase,NotComplete
4295102|4296760|+|heme_lyase__NrfEFG__for_insertion_of_heme_into_c552__subunit_NrfE,Mobile Genetic Element,Heme lyase  ,NRFE
4237996|4238379|+|heme_lyase__NrfEFG__for_insertion_of_heme_into_c552__subunit_NrfF,Mobile Genetic Element,Heme lyase  ,NRFF
4238376|4238972|+|heme_lyase__NrfEFG__for_insertion_of_heme_into_c552__subunit_NrfG,Mobile Genetic Element,Heme lyase  ,NRFG
inc_i1_mlst|ardA_26,Mobile Genetic Element,Inc,ardA
inc_f_rst|FIA_17,Mobile Genetic Element,Inc,FIA
inc_f_rst|FIB_53,Mobile Genetic Element,Inc,FIB
inc_f_rst|FIC_1,Mobile Genetic Element,Inc,FIC
inc_f_rst|FII_98,Mobile Genetic Element,Inc,FII
inc_f_rst|FIIK_13,Mobile Genetic Element,Inc,FIIK
inc_f_rst|FIIS_1,Mobile Genetic Element,Inc,FIIS
inc_hi1_mlst|HCM1_043_3,Mobile Genetic Element,Inc,HCM1
inc_hi1_mlst|HCM1_099_1,Mobile Genetic Element,Inc,HCM1
inc_hi1_mlst|HCM1_178ac_2,Mobile Genetic Element,Inc,HCM1
inc_n_mlst|korA_6,Mobile Genetic Element,Inc,korA
inc_i1_mlst|pilL_20,Mobile Genetic Element,Inc,pilL
inc_i1_mlst|repI1_8,Mobile Genetic Element,Inc,repI1
inc_hi2_dlst|smr0018_2,Mobile Genetic Element,Inc,smr0018
inc_i1_mlst|sogS_3,Mobile Genetic Element,Inc,sogS
inc_i1_mlst|trbA_33,Mobile Genetic Element,Inc,trbA
inc_a_c_cgpmlst|A055_1,Mobile Genetic Element,Inc,NotComplete
4216320|4217966|+|inner-membrane_protein_insertion_factor,Mobile Genetic Element,Insertion sequence protein,IMP
381730|382140|+|IS2_insertion_element_repressor_InsA,Mobile Genetic Element,Insertion sequence protein,INSA
4338|4610|+|insertion_element_iso-IS1N_protein_InsA,Mobile Genetic Element,Insertion sequence protein,INSA
4637|5032|+|insertion_element_iso-IS1n_protein_InsB,Mobile Genetic Element,Insertion sequence protein,INSB
32856|33614|+|insertion_sequence_is5376_putative_atp-binding_protein,Mobile Genetic Element,Insertion sequence protein,is5376
1274573|1275994|-|outer_membrane_insertion_C-terminal_signal_domain_protein,Mobile Genetic Element,Insertion sequence protein,OMP
26765|27052|-|putative_ISXac3_related_insertion_element,Mobile Genetic Element,Insertion sequence protein,NotComplete
4440403|4440717|-|insertion_element,Mobile Genetic Element,Insertion sequence protein,NotComplete
52132|52458|+|Insertion_element_IS6110_uncharacterized_12_0_kDa_protein,Mobile Genetic Element,Insertion sequence protein,NotComplete
20108|20422|-|insertion_sequence,Mobile Genetic Element,Insertion sequence protein,NotComplete
39751|41001|-|Insertion_sequence,Mobile Genetic Element,Insertion sequence protein,NotComplete
2448185|2448466|+|putative_insertion_sequence_protein,Mobile Genetic Element,Insertion sequence protein,NotComplete
2983146|2983328|-|putative_insertion_sequence_protein,Mobile Genetic Element,Insertion sequence protein,NotComplete
23035|23688|-|Fusion_GroEL_integrase,Mobile Genetic Element,Integrase,INTEGRASE
1|1041|-|IntI3_integrase,Mobile Genetic Element,Integrase,INTI3
51492|52373|+|integrase_Family__IS3,Mobile Genetic Element,Integrase,IS3
2007179|2008492|+|putative_defective_integrase,Mobile Genetic Element,Integrase,NotComplete
1|610|-|integrase,Mobile Genetic Element,Integrase,NotComplete
103272|103928|+|integrase,Mobile Genetic Element,Integrase,NotComplete
105519|107060|-|Integrase,Mobile Genetic Element,Integrase,NotComplete
1056536|1057615|+|integrase,Mobile Genetic Element,Integrase,NotComplete
1070|2098|+|integrase,Mobile Genetic Element,Integrase,NotComplete
1087391|1088458|+|integrase,Mobile Genetic Element,Integrase,NotComplete
1088882|1089733|+|integrase,Mobile Genetic Element,Integrase,NotComplete
108893|109862|-|integrase,Mobile Genetic Element,Integrase,NotComplete
1145793|1146395|-|integrase,Mobile Genetic Element,Integrase,NotComplete
1157007|1157837|-|integrase,Mobile Genetic Element,Integrase,NotComplete
1174438|1175373|-|Integrase,Mobile Genetic Element,Integrase,NotComplete
1235900|1236067|+|integrase,Mobile Genetic Element,Integrase,NotComplete
1269364|1270482|-|integrase,Mobile Genetic Element,Integrase,NotComplete
1272505|1273494|-|Integrase,Mobile Genetic Element,Integrase,NotComplete
1334968|1335203|-|integrase,Mobile Genetic Element,Integrase,NotComplete
143758|144960|+|integrase,Mobile Genetic Element,Integrase,NotComplete
1441045|1442256|-|integrase,Mobile Genetic Element,Integrase,NotComplete
144177|145517|+|integrase,Mobile Genetic Element,Integrase,NotComplete
1446720|1447991|-|integrase,Mobile Genetic Element,Integrase,NotComplete
145504|147069|+|integrase,Mobile Genetic Element,Integrase,NotComplete
1529448|1530416|-|integrase,Mobile Genetic Element,Integrase,NotComplete
1587699|1589225|-|integrase,Mobile Genetic Element,Integrase,NotComplete
163729|163845|+|integrase,Mobile Genetic Element,Integrase,NotComplete
1674244|1675281|-|integrase,Mobile Genetic Element,Integrase,NotComplete
1710161|1711930|-|integrase,Mobile Genetic Element,Integrase,NotComplete
1722623|1723885|-|integrase,Mobile Genetic Element,Integrase,NotComplete
1739671|1740345|+|integrase,Mobile Genetic Element,Integrase,NotComplete
174963|176159|+|integrase,Mobile Genetic Element,Integrase,NotComplete
1778101|1778325|+|integrase,Mobile Genetic Element,Integrase,NotComplete
1870473|1871708|-|integrase,Mobile Genetic Element,Integrase,NotComplete
1871796|1872809|-|integrase,Mobile Genetic Element,Integrase,NotComplete
1883475|1883630|-|integrase,Mobile Genetic Element,Integrase,NotComplete
1919523|1920785|-|integrase,Mobile Genetic Element,Integrase,NotComplete
2002391|2003392|-|integrase,Mobile Genetic Element,Integrase,NotComplete
2086967|2087797|+|integrase,Mobile Genetic Element,Integrase,NotComplete
2144808|2144885|+|integrase,Mobile Genetic Element,Integrase,NotComplete
2225253|2226290|-|integrase,Mobile Genetic Element,Integrase,NotComplete
2239082|2240317|+|integrase,Mobile Genetic Element,Integrase,NotComplete
22642|24312|+|integrase,Mobile Genetic Element,Integrase,NotComplete
2268478|2268707|-|integrase,Mobile Genetic Element,Integrase,NotComplete
2289557|2290774|-|integrase,Mobile Genetic Element,Integrase,NotComplete
2301597|2301731|+|integrase,Mobile Genetic Element,Integrase,NotComplete
25928|27163|+|integrase,Mobile Genetic Element,Integrase,NotComplete
2605693|2606978|+|integrase,Mobile Genetic Element,Integrase,NotComplete
2666473|2667186|+|integrase,Mobile Genetic Element,Integrase,NotComplete
2729660|2729809|+|integrase,Mobile Genetic Element,Integrase,NotComplete
2749009|2749584|-|integrase,Mobile Genetic Element,Integrase,NotComplete
2774519|2775607|+|integrase,Mobile Genetic Element,Integrase,NotComplete
2826068|2827261|+|integrase,Mobile Genetic Element,Integrase,NotComplete
284880|286169|-|integrase,Mobile Genetic Element,Integrase,NotComplete
2851565|2852809|+|integrase,Mobile Genetic Element,Integrase,NotComplete
2889554|2889772|+|integrase,Mobile Genetic Element,Integrase,NotComplete
2956022|2957212|-|integrase,Mobile Genetic Element,Integrase,NotComplete
298476|299324|+|integrase,Mobile Genetic Element,Integrase,NotComplete
3020506|3021510|+|integrase,Mobile Genetic Element,Integrase,NotComplete
3065482|3065706|-|integrase,Mobile Genetic Element,Integrase,NotComplete
3077524|3078780|-|Integrase,Mobile Genetic Element,Integrase,NotComplete
308667|309719|-|integrase,Mobile Genetic Element,Integrase,NotComplete
3097049|3097888|+|integrase,Mobile Genetic Element,Integrase,NotComplete
31401|31988|+|integrase,Mobile Genetic Element,Integrase,NotComplete
3154435|3155469|+|integrase,Mobile Genetic Element,Integrase,NotComplete
3178772|3179095|-|integrase,Mobile Genetic Element,Integrase,NotComplete
3187382|3187948|-|integrase,Mobile Genetic Element,Integrase,NotComplete
3194038|3195372|+|integrase,Mobile Genetic Element,Integrase,NotComplete
320675|321895|-|integrase,Mobile Genetic Element,Integrase,NotComplete
3211660|3212136|+|integrase,Mobile Genetic Element,Integrase,NotComplete
3244300|3244929|-|integrase,Mobile Genetic Element,Integrase,NotComplete
3255012|3256166|+|integrase,Mobile Genetic Element,Integrase,NotComplete
32972|34570|+|integrase,Mobile Genetic Element,Integrase,NotComplete
3334296|3335276|+|integrase,Mobile Genetic Element,Integrase,NotComplete
3339216|3341141|-|integrase,Mobile Genetic Element,Integrase,NotComplete
3363399|3364610|+|integrase,Mobile Genetic Element,Integrase,NotComplete
3377883|3379073|-|integrase,Mobile Genetic Element,Integrase,NotComplete
3408225|3409217|+|integrase,Mobile Genetic Element,Integrase,NotComplete
3600803|3600979|-|integrase,Mobile Genetic Element,Integrase,NotComplete
362895|363857|-|integrase,Mobile Genetic Element,Integrase,NotComplete
3711175|3712248|-|integrase,Mobile Genetic Element,Integrase,NotComplete
3748755|3749963|-|integrase,Mobile Genetic Element,Integrase,NotComplete
3764377|3765210|-|integrase,Mobile Genetic Element,Integrase,NotComplete
3837639|3838910|+|integrase,Mobile Genetic Element,Integrase,NotComplete
3849680|3850990|-|integrase,Mobile Genetic Element,Integrase,NotComplete
3850983|3852185|-|integrase,Mobile Genetic Element,Integrase,NotComplete
387455|388303|-|integrase,Mobile Genetic Element,Integrase,NotComplete
391533|392225|+|integrase,Mobile Genetic Element,Integrase,NotComplete
4051326|4052546|-|integrase,Mobile Genetic Element,Integrase,NotComplete
4067229|4068416|+|integrase,Mobile Genetic Element,Integrase,NotComplete
4081617|4082609|-|integrase,Mobile Genetic Element,Integrase,NotComplete
409330|410490|-|integrase,Mobile Genetic Element,Integrase,NotComplete
4188730|4189044|+|integrase,Mobile Genetic Element,Integrase,NotComplete
41962|43461|+|integrase,Mobile Genetic Element,Integrase,NotComplete
4209909|4211171|-|integrase,Mobile Genetic Element,Integrase,NotComplete
4233924|4234919|-|integrase,Mobile Genetic Element,Integrase,NotComplete
4395119|4396099|-|integrase,Mobile Genetic Element,Integrase,NotComplete
4443191|4443793|-|integrase,Mobile Genetic Element,Integrase,NotComplete
4555868|4556437|-|integrase,Mobile Genetic Element,Integrase,NotComplete
4602820|4604343|-|integrase,Mobile Genetic Element,Integrase,NotComplete
46189|46608|+|integrase,Mobile Genetic Element,Integrase,NotComplete
4664582|4665445|+|integrase,Mobile Genetic Element,Integrase,NotComplete
48033|48530|+|integrase,Mobile Genetic Element,Integrase,NotComplete
4873089|4874048|+|Integrase,Mobile Genetic Element,Integrase,NotComplete
4874048|4874938|+|Integrase,Mobile Genetic Element,Integrase,NotComplete
4944163|4944714|+|integrase,Mobile Genetic Element,Integrase,NotComplete
4982176|4983345|+|integrase,Mobile Genetic Element,Integrase,NotComplete
508167|509018|+|integrase,Mobile Genetic Element,Integrase,NotComplete
5248125|5248337|+|integrase,Mobile Genetic Element,Integrase,NotComplete
538010|539173|-|integrase,Mobile Genetic Element,Integrase,NotComplete
5408246|5409271|+|integrase,Mobile Genetic Element,Integrase,NotComplete
56778|57944|+|integrase,Mobile Genetic Element,Integrase,NotComplete
58926|60098|+|integrase,Mobile Genetic Element,Integrase,NotComplete
592698|593965|+|integrase,Mobile Genetic Element,Integrase,NotComplete
608863|610074|-|integrase,Mobile Genetic Element,Integrase,NotComplete
6415|7095|+|integrase,Mobile Genetic Element,Integrase,NotComplete
692701|693624|+|integrase,Mobile Genetic Element,Integrase,NotComplete
77141|78296|-|integrase,Mobile Genetic Element,Integrase,NotComplete
778192|779040|-|integrase,Mobile Genetic Element,Integrase,NotComplete
827750|828832|+|integrase,Mobile Genetic Element,Integrase,NotComplete
836690|837571|+|Integrase,Mobile Genetic Element,Integrase,NotComplete
86570|87778|+|integrase,Mobile Genetic Element,Integrase,NotComplete
895066|896331|+|integrase,Mobile Genetic Element,Integrase,NotComplete
931508|932482|+|integrase,Mobile Genetic Element,Integrase,NotComplete
948654|949703|-|integrase,Mobile Genetic Element,Integrase,NotComplete
